Algoritmo: BestFit
Número de iterações: 501
Fragmentos livre: 10020
Fragmentação total: 501.0
Fragmentação média: 1.0

Algoritmo: FirstFit
Número de iterações: 501
Fragmentos livre: 310
Fragmentação total: 115.83333551883698
Fragmentação média: 0.23120426251264864

Algoritmo: NextFit
Número de iterações: 501
Fragmentos livre: 9419
Fragmentação total: 472.75476202368736
Fragmentação média: 0.9436222794883979

Algoritmo: WorstFit
Número de iterações: 501
Fragmentos livre: 477
Fragmentação total: 133.69801834970713
Fragmentação média: 0.26686231207526373

Algoritmo: BestFit

Algoritmo: FirstFit
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=4, id=19, tempoExecucao=14]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=5, id=10, tempoExecucao=32]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=6, id=2, tempoExecucao=17]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=4, id=13, tempoExecucao=21]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=5, id=15, tempoExecucao=26]
Processo [tamanho=5, id=20, tempoExecucao=20]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=4, id=19, tempoExecucao=14]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=5, id=20, tempoExecucao=20]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=5, id=15, tempoExecucao=26]
Processo [tamanho=4, id=19, tempoExecucao=14]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=4, id=13, tempoExecucao=21]
Processo [tamanho=6, id=17, tempoExecucao=21]
Processo [tamanho=4, id=1, tempoExecucao=24]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=18, tempoExecucao=14]
Processo [tamanho=5, id=20, tempoExecucao=20]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=5, id=7, tempoExecucao=32]
Processo [tamanho=5, id=10, tempoExecucao=32]
Processo [tamanho=4, id=13, tempoExecucao=21]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=5, id=6, tempoExecucao=25]
Processo [tamanho=6, id=9, tempoExecucao=33]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=7, id=20, tempoExecucao=20]
Processo [tamanho=7, id=12, tempoExecucao=19]
Processo [tamanho=4, id=1, tempoExecucao=24]

Algoritmo: NextFit
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=2, tempoExecucao=17]
Processo [tamanho=4, id=5, tempoExecucao=18]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=2, id=4, tempoExecucao=32]
Processo [tamanho=3, id=7, tempoExecucao=32]

Algoritmo: WorstFit
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=2, tempoExecucao=17]
Processo [tamanho=4, id=5, tempoExecucao=18]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=2, id=4, tempoExecucao=32]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=3, id=2, tempoExecucao=17]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=2, id=13, tempoExecucao=21]
Processo [tamanho=3, id=20, tempoExecucao=20]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=2, id=6, tempoExecucao=25]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=2, id=4, tempoExecucao=32]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=5, id=20, tempoExecucao=20]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=2, tempoExecucao=17]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=4, id=11, tempoExecucao=15]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=3, id=12, tempoExecucao=19]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=4, id=5, tempoExecucao=18]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=2, id=18, tempoExecucao=14]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=4, id=11, tempoExecucao=15]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=13, tempoExecucao=21]
Processo [tamanho=5, id=18, tempoExecucao=14]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=3, id=8, tempoExecucao=14]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=3, id=14, tempoExecucao=20]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=2, id=15, tempoExecucao=26]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=5, id=14, tempoExecucao=20]
Processo [tamanho=3, id=13, tempoExecucao=21]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=5, id=18, tempoExecucao=14]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=3, id=17, tempoExecucao=21]
Processo [tamanho=4, id=21, tempoExecucao=23]
Processo [tamanho=3, id=13, tempoExecucao=21]
Processo [tamanho=3, id=10, tempoExecucao=32]
Processo [tamanho=6, id=8, tempoExecucao=14]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=3, id=9, tempoExecucao=33]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=5, id=17, tempoExecucao=21]
Processo [tamanho=5, id=12, tempoExecucao=19]
Processo [tamanho=3, id=13, tempoExecucao=21]
Processo [tamanho=3, id=3, tempoExecucao=13]
Processo [tamanho=5, id=15, tempoExecucao=26]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=6, id=9, tempoExecucao=33]
Processo [tamanho=3, id=16, tempoExecucao=32]
Processo [tamanho=5, id=3, tempoExecucao=13]
Processo [tamanho=5, id=2, tempoExecucao=17]
Processo [tamanho=3, id=13, tempoExecucao=21]
Processo [tamanho=3, id=7, tempoExecucao=32]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=3, id=19, tempoExecucao=14]
Processo [tamanho=5, id=3, tempoExecucao=13]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=5, id=18, tempoExecucao=14]
Processo [tamanho=8, id=19, tempoExecucao=14]
Processo [tamanho=5, id=2, tempoExecucao=17]
Processo [tamanho=3, id=1, tempoExecucao=24]
Processo [tamanho=5, id=3, tempoExecucao=13]
Processo [tamanho=8, id=10, tempoExecucao=32]
Processo [tamanho=4, id=4, tempoExecucao=32]
Processo [tamanho=5, id=2, tempoExecucao=17]
Processo [tamanho=7, id=3, tempoExecucao=13]
Processo [tamanho=5, id=5, tempoExecucao=18]
Processo [tamanho=5, id=7, tempoExecucao=32]
Processo [tamanho=5, id=2, tempoExecucao=17]

